,link
0,https://ca.linkedin.com/jobs/view/data-engineer-at-thescore-3345943051?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=O3UCXDazmfLOy5lCORtwRA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,https://ca.linkedin.com/jobs/view/data-engineer-developer-at-interac-corp-3406484018?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=%2B8wFiDe9GpL3GwKWMyHt3A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,https://ca.linkedin.com/jobs/view/data-engineer-azure-at-tiger-analytics-3448428034?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=2ytSzMkcV7jWPNBgJ40xvg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,https://ca.linkedin.com/jobs/view/data-engineer-azure-at-tiger-analytics-3383011313?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=Ny4p4YENe%2Bonc765ivAzhg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,https://ca.linkedin.com/jobs/view/data-engineer-at-epsilon-solutions-ltd-3440856425?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=HB38paKaCX1MjwiZ8YmfEw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,https://ca.linkedin.com/jobs/view/data-engineer-at-president-s-choice-financial-3094129976?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=iWLWmwrqd4eVHM4q2JjYyg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,https://ca.linkedin.com/jobs/view/data-engineer-at-president-s-choice-financial-3473991796?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=LpEtHUG%2BzBHNqJ478YwGDA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,https://ca.linkedin.com/jobs/view/data-engineer-at-randstad-canada-3444030300?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=cFS6%2FtF1waJpwtQSMSL0Pw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,https://ca.linkedin.com/jobs/view/data-engineer-aws-at-tiger-analytics-3459781211?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=qSgwoZYv8NrBWzaEp5MCAQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,https://ca.linkedin.com/jobs/view/data-engineer-at-camh-3457681198?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=Gw%2F9JszT%2BZZOT5RtMqhBSw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,https://ca.linkedin.com/jobs/view/data-engineer-at-cbi-health-3469215767?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=5swCLLZiv2DeWKmRikiVSQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,https://ca.linkedin.com/jobs/view/data-engineer-at-eteam-3469279746?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=eaOb8J40EXZ1tKBXPSAZHA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,https://ca.linkedin.com/jobs/view/data-engineer-data-platforms-at-recursion-3402384301?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=CRgXqIDiupOA2CsbVKVssw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,https://ca.linkedin.com/jobs/view/database-engineer-at-thescore-3407536827?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=YhhdakkLjWsHLIMXiiXgwA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,https://ca.linkedin.com/jobs/view/data-analyst-at-arc-business-solutions-inc-3464945036?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=4mZ9ULqwkUpNsWf2MBcvpA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,https://ca.linkedin.com/jobs/view/data-engineer-machine-learning-at-markitech-ai-experts-in-digital-transformation-focused-on-ai-machine-learning-in-health-telco-3472841646?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=1DrvtxiSBIjGVyaBm15bZg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,https://ca.linkedin.com/jobs/view/growth-data-engineer-at-fivetran-3468794013?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=k8v9NVZMis8bEvF3WrxbTQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,https://ca.linkedin.com/jobs/view/data-analyst-at-momentum-financial-services-group-3451683218?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=w8etszJxAOFju6ABiE24Bg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,https://ca.linkedin.com/jobs/view/data-analyst-at-fairstone-bank-3477122575?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=ByaaiFvF50I1UVWE3MWq4w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,https://ca.linkedin.com/jobs/view/etl-data-developer-at-stack-it-recruitment-inc-3473387053?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=R60%2BANGaVdoK5im83%2Bhq7g%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,https://ca.linkedin.com/jobs/view/database-engineer-pricemetrix-at-mckinsey-company-3197101869?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=UnKUYJqUo769%2FgMQugXK2w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,https://ca.linkedin.com/jobs/view/data-engineer-at-tao-digital-solutions-3471886986?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=6CsKssbCfhB%2F6WdEAHR5oA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,https://ca.linkedin.com/jobs/view/data-engineer-at-keyrus-3405074806?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=ReENPxdS1j5FA9VCK5bTBQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,https://ca.linkedin.com/jobs/view/data-engineer-at-eteam-3469280666?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=GD2OB%2F4JQuk7WCjAGWMnXA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,https://ca.linkedin.com/jobs/view/data-engineer-at-eteam-3469282399?refId=xPUu6kjwQlWl57CoJsvRRA%3D%3D&trackingId=zrmEpH9Zob6JmTi5fFTtug%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
25,https://ca.linkedin.com/jobs/view/backend-%2B-data-engineer-north-america-remote-at-braintrust-3478558840?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=o9044hvRVtbyuQWr%2B%2BpkGg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
26,https://ca.linkedin.com/jobs/view/data-engineer-tim-hortons-canada-at-restaurant-brands-international-2924379222?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=JVkMffwPntPRvF4D8CGBfw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
27,https://ca.linkedin.com/jobs/view/dovenmuehle-mortgage-data-engineer-direct-hire-remote-at-braintrust-3477274873?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=Rdq6VXOLwcT8g8nw8I92Hg%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
28,https://ca.linkedin.com/jobs/view/data-developer-ii-at-touchbistro-3470055418?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=jHAtc3OjxdO7OBVPE5hXKA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
29,https://ca.linkedin.com/jobs/view/data-analyst-sql-python-pyspark-at-beachhead-3478581621?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=M9ixkLhO%2B8ToOibMRhxEQA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
30,https://ca.linkedin.com/jobs/view/intermediate-etl-data-developer-at-stack-it-recruitment-inc-3469239636?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=1NKKvf%2FKL0%2FnHhv7EQ4q8g%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
31,https://ca.linkedin.com/jobs/view/software-engineer-entry-level-at-laserfiche-3056868744?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=%2BhRf5eMsBJX2OfQwRodF9w%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
32,https://ca.linkedin.com/jobs/view/sql-data-developer-at-beachhead-3472930186?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=7FrDGhIR4BNMVqxgdDFC0g%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
33,https://ca.linkedin.com/jobs/view/mediabrands-data-analyst-developer-roles-general-application-at-mediabrands-3315304613?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=%2B4QzKtSqzOBUZpHkQPtBfw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
34,https://ca.linkedin.com/jobs/view/etl-developer-at-cibc-3465306667?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=1K3714ZPBdUhhYmJyePA%2Fg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
35,https://ca.linkedin.com/jobs/view/quality-engineer-data-warehousing-etl-at-manulife-3464445204?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=jwAJKxERduYcm3OwbRXWoA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
36,https://ca.linkedin.com/jobs/view/software-engineer-at-tango-3468501362?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=hbhXRfpKHZNwzvca3Py7aA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
37,https://ca.linkedin.com/jobs/view/software-engineer-at-freshline-3459708888?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=ci9wLsvmMdLdP5wwTaEIGQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
38,https://ca.linkedin.com/jobs/view/data-analyst-%E2%80%93-workday-at-beachhead-3462822870?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=jBBihm6ayDLKlIWZGrxm%2Fg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
39,https://ca.linkedin.com/jobs/view/azure-data-engineer-fulltime-at-infinity-solutions-3477076239?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=ZPG16z%2FVRbsR5Ml7AbRxrA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
40,https://ca.linkedin.com/jobs/view/data-analyst-fr-at-fairstone-bank-3478366657?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=KKz2XEKo7bkg%2FAqCN01lmA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
41,https://ca.linkedin.com/jobs/view/data-analyst-at-robertson-company-ltd-3460320379?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=EAjn580UFqsPtqS5AOOJ6Q%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
42,https://ca.linkedin.com/jobs/view/data-analytics-developer-at-isgsearch-3455048345?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=8pUHMY%2BN%2FLVe7NsqLxcBCQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
43,https://ca.linkedin.com/jobs/view/junior-software-devops-engineer-at-wiley-edge-3471235757?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=1PUx5rxfDjkeV%2BjBXk51tA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
44,https://ca.linkedin.com/jobs/view/data-analyst-at-manulife-3476498500?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=i2NkVwZ%2BK%2B9h0U%2B7Ri%2F3Vg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
45,https://ca.linkedin.com/jobs/view/gcp-data-engineer-scientist-at-zortech-solutions-3469240576?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=EfiMClHUhaMK1by5IVV3Lw%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
46,https://ca.linkedin.com/jobs/view/junior-devops-software-engineer-at-wiley-edge-3468306444?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=cT%2BigLIQ8rhqaNol3TOXOw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
47,https://ca.linkedin.com/jobs/view/forward-deployed-data-engineer-at-boston-consulting-group-bcg-3324501596?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=lzQVjzxyW2czbz236hyGPg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
48,https://ca.linkedin.com/jobs/view/microsoft-data-management-data-engineer-at-diverse-lynx-3458539975?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=d8MvPUnCMJUy4vjgphPx7g%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,https://ca.linkedin.com/jobs/view/aws-big-data-developer-at-emonics-llc-3477151623?refId=HgPA9KC6aHlGvB6FL19vzg%3D%3D&trackingId=%2F%2BPA7sxyfWAHwezTdxq63A%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,https://ca.linkedin.com/jobs/view/data-ingestion-developer-at-zortech-solutions-3469245180?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=aRNVM3oYql4VOnO%2BKmSkdA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
51,https://ca.linkedin.com/jobs/view/data-ingestion-developer-at-zortech-solutions-3469516548?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=%2Bjv8%2FUWiFon5k0%2FB%2FCeHTA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
52,https://ca.linkedin.com/jobs/view/bi-data-engineer-at-telus-international-3478553627?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=o1ZnrUfo9kacw%2FHw0H0N4w%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
53,https://ca.linkedin.com/jobs/view/software-engineer-at-texas-instruments-3477692872?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=RhPRgKdKEUTxCiqAop3MMQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
54,https://ca.linkedin.com/jobs/view/machine-learning-engineer-north-american-integrated-analytics-team-at-munich-re-3466270402?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=4XPy8EDfqGUQWkAkodCyEQ%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
55,https://ca.linkedin.com/jobs/view/software-engineer-at-thanx-3440368830?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=g3BoYrkZjqmknzpWc8tnEw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
56,https://ca.linkedin.com/jobs/view/data-analyst-real-world-data-at-clarivate-3285903508?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=BqqJhZ3MP0xtpJ5mo716Mg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
57,https://ca.linkedin.com/jobs/view/software-engineer-at-the-ian-martin-group-3476612155?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=mkxa4mDMUSUHfgQkyoseuQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
58,https://ca.linkedin.com/jobs/view/data-analyst-ii-at-canadian-tire-corporation-3469895858?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=MSFgR4ZFuX4Ly8CuSx2X5A%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
59,https://ca.linkedin.com/jobs/view/junior-software-engineer-trilogy-remote-%2460-000-year-usd-at-crossover-3471673161?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=zAEORwPZ3RPpU12F5W4WjA%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
60,https://ca.linkedin.com/jobs/view/network-data-engineer-at-vdart-3477050729?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=Dmy%2FBinGvDrht32saVTzaw%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
61,https://ca.linkedin.com/jobs/view/data-analyst-hybrid-at-global-technical-talent-an-inc-5000-company-3462820930?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=NyM%2BG86HgX6fVLbMBndosg%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
62,https://ca.linkedin.com/jobs/view/cloud-engineer-at-boosted-ai-3450559577?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=7d2ahapMAo2yZIyTS437yQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
63,https://ca.linkedin.com/jobs/view/sr-data-engineer-at-diverse-lynx-3439695148?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=F5voW%2BZRY9tbeLb0vUmXOw%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
64,https://ca.linkedin.com/jobs/view/data-analyst-threat-lab-at-integral-ad-science-3449518241?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=6RS%2BypwN3UPlY2tZ5QdGoA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
65,https://ca.linkedin.com/jobs/view/data-engineer-with-aws-platform-at-w3global-3476638486?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=Bh2pEep7ec9xN5rpa%2BQk1g%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
66,https://ca.linkedin.com/jobs/view/software-devops-engineer-at-wiley-edge-3473890331?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=lGmkZA3STc95w0Ylr1D%2FaA%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
67,https://ca.linkedin.com/jobs/view/software-engineer-ii-at-toast-3478370051?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=zVJeqwm%2BxnsNBaZblYwXXg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
68,https://ca.linkedin.com/jobs/view/cloud-big-data-developer-at-cgi-3438543630?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=guj2PngW5muoJeZYdYWjcQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
69,https://ca.linkedin.com/jobs/view/software-engineer-de-at-ss-c-technologies-3423801742?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=fqEs74iIbjUVVYgaSRcjtg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
70,https://ca.linkedin.com/jobs/view/data-analyst-finance-at-randstad-canada-3445444296?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=uden%2Fn8ydxqIsMm2nTu2Gg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
71,https://ca.linkedin.com/jobs/view/database-developer-at-intrado-3470048575?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=C9DoE6TLVubKQwotaFiwTA%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
72,https://ca.linkedin.com/jobs/view/cloud-big-data-developer-at-cgi-3438543627?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=ztFg6Cyu2Lj%2B6Z9qN9OMhw%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
73,https://ca.linkedin.com/jobs/view/software-engineer-at-kora-3471899689?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=BSPsYlqpfZaYCWUrZW2rjQ%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
74,https://ca.linkedin.com/jobs/view/software-engineer-at-ss-c-technologies-3452450552?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=tis5liD4R%2BrP%2F1R4Qa1kSA%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
75,https://ca.linkedin.com/jobs/view/associate-software-engineer-at-cboe-global-markets-3260822652?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=82ujclll7w4458ReIhxPXQ%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
76,https://ca.linkedin.com/jobs/view/data-analyst-canadian-tire-corporation-at-canadian-tire-corporation-3470500627?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=jIiWwLcL9JPuQZT9OsV4cA%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
77,https://ca.linkedin.com/jobs/view/data-analyst-at-arobas-personnel-3474024936?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=DQ4KHpnjjgNXaw0cRVlevQ%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
78,https://ca.linkedin.com/jobs/view/specialist-data-engineering-at-definity-3409239206?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=EXVUSzPnjcZjmxxWQwS4eQ%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
79,https://ca.linkedin.com/jobs/view/data-analyst-payment-decision-support-at-president-s-choice-financial-3477080330?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=TuIvmmwxFqdjfs93t28%2F2A%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
80,https://ca.linkedin.com/jobs/view/data-analyst-at-creative-circle-3434863843?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=owDSwDgLySXbsRKzMsGcyQ%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
81,https://ca.linkedin.com/jobs/view/software-engineer-enterprise-data-services-15356-at-getty-images-3428744573?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=ihV4Tpv6M74HsNp%2Fj5o1gA%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
82,https://ca.linkedin.com/jobs/view/cloud-developer-data-engineering-canadian-tire-corporation-at-canadian-tire-corporation-3469894946?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=ulUm4f4rjNsvJ4FtCn8vtA%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
